Date,Open,High,Low,Close,Adj Close**,Volume
2020-03-31,132.82,134.27,131.65,133.59,133.59,"11,065,246,317"
2020-04-01,133.61,135.63,129.73,135.63,135.63,"12,456,564,435"
2020-04-02,135.73,146.79,135.73,142.03,142.03,"15,322,861,686"
2020-04-03,142.11,146.90,139.62,142.09,142.09,"13,184,603,402"
2020-04-04,142.22,145.38,140.12,145.22,145.22,"11,946,658,257"
2020-04-05,145.26,146.13,142.10,143.55,143.55,"11,280,993,591"
2020-04-06,143.61,169.27,143.54,169.14,169.14,"21,636,382,525"
2020-04-07,169.15,175.20,164.20,165.10,165.10,"21,659,346,091"
2020-04-08,165.24,173.21,164.49,172.64,172.64,"17,063,110,836"
2020-04-09,172.76,172.90,167.99,170.81,170.81,"14,901,696,210"
2020-04-10,170.83,170.95,154.91,158.41,158.41,"17,980,944,616"
2020-04-11,158.54,161.17,155.30,158.22,158.22,"13,555,089,447"
2020-04-12,158.23,164.52,156.32,161.14,161.14,"15,123,721,386"
2020-04-13,160.72,160.75,151.61,156.28,156.28,"16,465,282,133"
2020-04-14,156.36,160.94,155.87,157.60,157.60,"14,723,156,630"
2020-04-15,157.57,160.71,152.80,153.29,153.29,"14,171,753,737"
2020-04-16,153.20,173.16,150.36,172.16,172.16,"22,910,469,236"
2020-04-17,172.28,174.28,169.75,171.64,171.64,"16,714,684,266"
2020-04-18,171.62,187.94,171.62,186.91,186.91,"20,160,323,443"
2020-04-19,186.86,188.10,180.12,181.61,181.61,"19,146,038,381"
2020-04-20,181.48,186.08,170.32,172.30,172.30,"21,266,681,335"
2020-04-21,172.02,175.18,170.55,172.74,172.74,"16,458,767,984"
2020-04-22,172.67,183.75,171.83,182.60,182.60,"17,994,666,395"
2020-04-23,182.62,189.09,180.34,185.03,185.03,"21,275,740,032"
2020-04-24,185.22,190.21,185.22,189.24,189.24,"16,788,555,028"
2020-04-25,189.21,196.79,188.46,195.52,195.52,"18,260,969,748"
2020-04-26,195.41,199.34,194.77,197.32,197.32,"18,335,367,012"
2020-04-27,197.48,199.55,193.45,197.22,197.22,"18,670,194,595"
2020-04-28,197.27,198.79,194.85,198.42,198.42,"18,217,507,467"
2020-04-29,198.47,218.45,198.12,216.97,216.97,"26,397,548,759"
2020-04-30,216.91,227.53,206.44,207.60,207.60,"28,089,191,904"
2020-05-01,207.90,217.63,207.78,214.22,214.22,"20,816,320,834"
2020-05-02,214.23,215.85,212.88,215.33,215.33,"18,260,876,092"
2020-05-03,215.35,219.27,208.69,210.93,210.93,"20,469,034,664"
2020-05-04,210.89,211.83,199.05,208.17,208.17,"22,602,446,422"
2020-05-05,208.01,211.78,204.03,206.77,206.77,"19,004,689,099"
2020-05-06,206.48,211.53,204.04,204.06,204.06,"20,343,543,799"
2020-05-07,203.91,214.39,202.07,212.29,212.29,"23,594,744,655"
2020-05-08,212.20,216.33,208.83,212.99,212.99,"20,445,139,356"
2020-05-09,213.14,214.74,209.07,211.60,211.60,"18,950,547,549"
2020-05-10,211.55,211.55,182.71,188.60,188.60,"25,211,575,193"
2020-05-11,188.63,191.36,180.72,185.91,185.91,"20,054,601,647"
2020-05-12,185.88,191.60,185.70,189.31,189.31,"15,899,726,284"
2020-05-13,189.37,200.20,189.13,199.19,199.19,"17,054,662,289"
2020-05-14,198.89,204.12,196.87,202.95,202.95,"20,150,524,861"
2020-05-15,202.96,203.57,193.76,195.62,195.62,"16,602,342,092"
2020-05-16,195.61,202.77,194.50,200.68,200.68,"15,379,081,645"
2020-05-17,200.61,209.16,200.10,207.16,207.16,"15,470,397,303"
2020-05-18,207.18,215.91,207.11,214.53,214.53,"17,411,566,928"
2020-05-19,214.60,214.60,210.14,213.45,213.45,"14,346,192,779"
2020-05-20,213.45,214.72,207.98,210.10,210.10,"12,730,175,511"
2020-05-21,210.13,211.63,193.35,199.88,199.88,"13,308,321,229"
2020-05-22,199.84,208.59,198.04,207.17,207.17,"12,041,592,114"
2020-05-23,207.19,210.39,205.29,208.69,208.69,"10,665,476,768"
2020-05-24,208.72,210.60,202.37,202.37,202.37,"11,833,299,572"
2020-05-25,201.98,206.36,200.67,205.32,205.32,"10,415,044,124"
2020-05-26,205.26,205.75,200.26,201.90,201.90,"10,159,741,290"
2020-05-27,201.89,208.86,201.79,208.86,208.86,"10,631,034,756"
2020-05-28,208.89,220.28,206.24,219.84,219.84,"12,212,469,604"
2020-05-29,219.93,224.22,218.24,220.68,220.68,"12,265,816,557"
2020-05-30,220.72,243.94,218.74,242.35,242.35,"15,027,397,867"
2020-05-31,242.35,244.05,230.05,230.98,230.98,"12,234,904,813"
2020-06-01,230.86,248.24,230.49,246.99,246.99,"13,951,727,936"
2020-06-02,246.83,252.22,233.23,237.22,237.22,"13,782,107,567"
2020-06-03,237.40,244.18,235.46,244.18,244.18,"9,861,760,817"
2020-06-04,244.11,245.93,236.77,244.43,244.43,"10,170,414,304"
2020-06-05,244.35,247.33,240.68,241.22,241.22,"9,293,963,914"
2020-06-06,241.20,245.98,239.72,241.93,241.93,"8,114,873,845"
2020-06-07,241.91,245.44,236.33,245.17,245.17,"9,544,883,157"
2020-06-08,245.18,246.64,241.54,246.31,246.31,"8,076,783,299"
2020-06-09,246.18,248.34,242.34,244.91,244.91,"8,446,545,788"
2020-06-10,244.82,248.65,242.82,247.44,247.44,"8,792,990,206"
2020-06-11,247.55,249.89,229.94,231.70,231.70,"12,356,528,860"
2020-06-12,231.63,239.35,229.65,237.49,237.49,"8,868,955,009"
2020-06-13,237.54,239.19,235.89,238.91,238.91,"7,141,624,980"
2020-06-14,238.97,239.10,232.96,234.11,234.11,"7,439,385,176"
2020-06-15,234.06,234.24,221.24,229.93,229.93,"10,536,099,884"
2020-06-16,229.76,236.39,228.43,234.42,234.42,"7,965,648,016"
2020-06-17,234.49,235.95,229.34,233.03,233.03,"7,701,391,592"
2020-06-18,232.90,234.57,228.95,232.10,232.10,"6,713,800,872"
2020-06-19,231.95,232.15,226.80,227.14,227.14,"6,946,372,590"
2020-06-20,226.98,231.45,226.64,229.27,229.27,"6,252,830,566"
2020-06-21,229.22,232.36,228.49,228.99,228.99,"5,600,408,178"
2020-06-22,229.00,243.78,228.93,242.53,242.53,"9,079,586,552"
2020-06-23,242.54,244.86,239.76,244.14,244.14,"6,624,530,348"
2020-06-24,244.19,248.51,232.81,235.77,235.77,"8,815,030,025"
2020-06-25,235.70,236.05,230.30,232.94,232.94,"7,010,426,122"
2020-06-26,232.88,233.90,229.26,229.67,229.67,"7,187,490,226"
2020-06-27,229.63,232.49,220.56,222.96,222.96,"6,918,380,955"
2020-06-28,222.91,228.60,219.47,225.35,225.35,"6,205,925,718"
2020-06-29,225.36,229.90,222.25,228.19,228.19,"6,726,164,653"
2020-06-30,227.97,229.48,224.82,226.32,226.32,"6,094,093,001"
2020-07-01,226.13,232.76,224.84,231.11,231.11,"6,463,737,443"
2020-07-02,231.29,232.40,225.46,229.39,229.39,"6,212,210,566"
2020-07-03,229.32,229.63,224.91,225.39,225.39,"5,109,032,700"
2020-07-04,225.29,230.05,225.13,229.07,229.07,"5,228,310,135"
2020-07-05,228.98,229.86,224.54,227.66,227.66,"5,292,172,429"
2020-07-06,227.69,242.13,227.03,241.51,241.51,"8,782,917,553"
2020-07-07,240.97,242.68,234.22,239.08,239.08,"6,441,497,597"
2020-07-08,239.16,248.31,238.40,246.67,246.67,"9,892,586,411"
2020-07-09,246.75,247.29,239.90,243.02,243.02,"8,429,099,199"
2020-07-10,242.87,242.88,236.73,240.98,240.98,"7,281,370,522"
2020-07-11,241.04,241.53,238.33,239.46,239.46,"5,643,067,316"
